Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Si Wt%,P Wt%,S Wt%,Cl Wt%,Ca Wt%,Cu Wt%,K Wt%,Al Wt%,Cr Wt%,Fe Wt%,Ti Wt%,Zn Wt%
91,Oxygen only,0.220595596,60115.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Oxygen only,0.233976963,56657.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Sea aerosol (Cl),0.481830137,54538.0,74.21021461,18.35359931,2.666586824,0.0,0.0,0.0,4.769606516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Sea aerosol (Cl),0.295274161,62811.0,69.07864213,20.2176258,0.0,0.0,0.0,0.0,10.70372909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Sea aerosol (Cl),0.236133478,52622.0,71.59441113,19.34151649,0.0,0.0,0.0,0.0,9.064061195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Sea aerosol (Cl),0.49634009,55620.0,66.84222221,20.71387917,0.0,0.0,0.0,0.0,12.44389787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Sea aerosol (Cl),0.215950958,53837.0,75.71530342,16.64727926,0.0,0.0,0.0,0.0,7.637422532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Sea aerosol (Cl),0.389961604,53203.0,68.01151633,16.67533517,3.263201937,0.0,0.0,0.0,12.04994321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Sea aerosol (Cl),0.272043058,58608.0,61.25025153,21.94857448,2.221993543,0.0,0.0,0.0,14.57917541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,Sea aerosol (Cl),0.250710235,62085.0,71.71776891,18.19594502,0.0,0.0,0.0,0.0,10.0862883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Sea aerosol (Cl),0.364428108,54043.0,65.51166177,16.63399786,3.209749982,0.0,0.0,0.0,11.64554507,0.932488684,2.066553384,0.0,0.0,0.0,0.0,0.0,0.0
123,Sea aerosol (Cl),0.307056074,60854.0,78.76435518,13.12898993,0.0,0.0,0.0,0.0,8.106652647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Oxygen only,0.211204203,52209.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Sea aerosol (Cl),0.315202212,59408.0,89.20570612,7.856819034,0.0,0.0,0.0,0.0,2.937473916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Sea aerosol (Cl),0.236133478,52600.0,70.17906904,18.95002127,0.0,0.0,0.0,0.0,10.87091565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Oxygen only,0.427181534,56244.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Sea aerosol (Cl),0.270173325,54878.0,71.87756896,17.43749678,0.0,0.0,0.0,0.0,10.6849432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Sea aerosol (Cl),0.469035901,55144.0,66.07293487,20.55199295,0.0,0.0,0.0,0.0,13.37507516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Sea aerosol (Cl),0.246633374,54018.0,72.9062438,17.69901365,0.0,0.0,0.0,0.0,9.394739568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Sea aerosol (Cl),0.389961604,54804.0,67.71230102,17.05823839,2.875733562,0.0,0.0,0.0,11.42929494,0.924432743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
