Id,Class,ECD (um),Count,O Wt%,Na Wt%,Mg Wt%,Al Wt%,Si Wt%,Cl Wt%,K Wt%,Ca Wt%,Ti Wt%,Fe Wt%,Cu Wt%,P Wt%,Mn Wt%,Zn Wt%,S Wt%,Cr Wt%
32,Sillica mixtures ,0.457795759,57349.0,85.17928123,4.450308532,0.0,1.076473668,9.293941408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Sillica mixtures ,1.276235652,54933.0,82.64209628,0.0,0.0,1.012131572,4.718455672,0.0,0.0,0.0,2.463429607,9.163878858,0.0,0.0,0.0,0.0,0.0,0.0
36,False Si ,0.404989814,59126.0,94.92356181,0.0,0.0,0.0,5.076437816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Aluminosillicates+NaCl,3.71639302,58434.0,71.26891017,4.430020601,0.720819086,6.499563903,13.43242079,0.337920571,1.20668048,1.316611189,0.0,0.787053164,0.0,0.0,0.0,0.0,0.0,0.0
38,Sillica mixtures ,0.643892766,54288.0,81.3765645,0.0,0.0,1.31526785,8.620762825,0.0,0.0,2.065799758,0.0,4.485574737,2.136024646,0.0,0.0,0.0,0.0,0.0
39,Sillica mixtures ,0.661345596,57902.0,83.92742872,2.912441827,0.0,3.699647263,7.708451152,0.0,0.0,1.752036251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Metallic Fe,0.363489482,59994.0,83.91836286,0.0,0.0,0.0,2.664655261,0.0,0.0,0.0,0.0,13.41697574,0.0,0.0,0.0,0.0,0.0,0.0
41,Aluminosillicates,2.078794299,62250.0,78.99137735,1.828123443,0.0,5.640021339,10.83941907,0.0,0.0,2.038884163,0.0,0.66217538,0.0,0.0,0.0,0.0,0.0,0.0
42,Sillica mixtures ,0.989719391,55628.0,80.86897135,0.0,1.97216142,3.545836732,8.521739393,0.0,0.0,2.063812129,0.0,3.027476557,0.0,0.0,0.0,0.0,0.0,0.0
43,Aluminosillicates,0.883944324,59360.0,83.32753778,0.0,0.0,4.250174761,9.392084926,0.0,0.0,1.514915936,0.0,1.515290048,0.0,0.0,0.0,0.0,0.0,0.0
44,Aluminosillicates,1.085233329,57212.0,82.57021904,0.0,0.0,5.268610269,6.996880472,0.0,0.0,0.86469911,0.971057825,3.328539431,0.0,0.0,0.0,0.0,0.0,0.0
45,Sillica mixtures ,0.894193297,59089.0,79.59476113,0.0,3.213857114,1.77078452,7.097992301,0.0,0.0,3.902475908,1.062733494,3.357390687,0.0,0.0,0.0,0.0,0.0,0.0
46,Sillica mixtures ,1.199876067,55985.0,75.54056048,0.0,5.362441763,1.533342525,9.270992875,0.0,0.0,4.983768612,0.0,3.308903426,0.0,0.0,0.0,0.0,0.0,0.0
47,Aluminosillicates,2.146191286,60386.0,74.85970259,1.098846644,3.520388156,3.432099149,10.3096731,0.0,0.0,2.970325947,0.361817074,3.447143361,0.0,0.0,0.0,0.0,0.0,0.0
48,Metallic Fe,0.919315974,59019.0,77.99808979,0.0,0.0,0.036975762,2.711701021,0.0,0.0,0.0,6.027862057,13.22537065,0.0,0.0,0.0,0.0,0.0,0.0
49,Aluminosillicates,1.646460561,54971.0,77.39113569,4.195393249,0.0,4.92954962,10.66925824,0.0,0.0,1.707880385,0.0,1.106790081,0.0,0.0,0.0,0.0,0.0,0.0
50,Aluminosillicates,1.06937422,60252.0,78.02884579,4.274680093,0.0,3.535026312,10.20091772,0.0,0.0,1.2432836,0.0,2.717246674,0.0,0.0,0.0,0.0,0.0,0.0
51,Aluminosillicates,3.449354771,55824.0,73.42235446,3.647425398,0.0,6.288329512,12.71056831,0.0,0.0,3.346331045,0.0,0.584992534,0.0,0.0,0.0,0.0,0.0,0.0
52,Oxygen only,0.312976752,59708.0,99.99999404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Aluminosillicates,1.683402787,56254.0,77.69363523,1.912566647,1.863002777,3.264717013,8.42173323,0.0,0.0,2.00942941,0.805237517,4.02966626,0.0,0.0,0.0,0.0,0.0,0.0
54,Aluminosillicates,2.088633506,53622.0,74.86390471,1.904867589,1.890284009,2.54328493,10.36750674,0.0,0.0,2.680161595,0.919799693,4.830186442,0.0,0.0,0.0,0.0,0.0,0.0
55,Aluminosillicates,1.177840539,55656.0,79.11630273,3.224846721,0.0,5.491273478,9.932561219,0.0,0.0,2.235018276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Sillica mixtures ,1.103963571,52494.0,78.44826579,0.0,4.302060232,0.509705162,9.405149519,0.0,0.0,2.676544897,0.0,4.658277333,0.0,0.0,0.0,0.0,0.0,0.0
57,Sillica mixtures ,0.92055411,55210.0,81.00143075,0.0,2.529955469,2.508112788,7.245644182,0.0,0.0,1.963866688,0.740102911,4.010874778,0.0,0.0,0.0,0.0,0.0,0.0
58,Metallic Fe,0.70953527,53874.0,74.48573709,0.0,0.0,0.0,2.364217676,0.0,0.0,0.0,3.695027158,19.45502013,0.0,0.0,0.0,0.0,0.0,0.0
59,Sillica mixtures ,1.07786145,60132.0,84.06700492,0.0,0.0,2.212241106,8.066980541,0.0,0.0,2.116049267,0.0,3.537719324,0.0,0.0,0.0,0.0,0.0,0.0
60,Sillica mixtures ,1.045679202,56767.0,79.79131937,5.537870899,0.0,1.726761274,11.9255811,0.0,0.0,1.018469129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Aluminosillicates,2.693173802,54490.0,75.86658597,0.0,2.945540473,2.834539115,10.45392603,0.0,0.0,2.97160726,0.513693038,4.414117336,0.0,0.0,0.0,0.0,0.0,0.0
62,Sillica mixtures ,0.86571671,59791.0,79.486835,0.0,5.701443925,0.0,8.892565221,0.0,0.0,4.189174995,0.0,1.72998216,0.0,0.0,0.0,0.0,0.0,0.0
63,Aluminosillicates,1.863857791,59065.0,74.41703677,2.05233898,0.0,2.934053354,9.202129394,0.0,0.97682979,0.707956078,1.622431353,8.087230474,0.0,0.0,0.0,0.0,0.0,0.0
64,Sillica mixtures ,3.304315945,55599.0,77.37885714,0.0,2.11149212,2.417709865,9.200326353,0.0,0.607759692,0.970779266,0.835772511,6.477303803,0.0,0.0,0.0,0.0,0.0,0.0
65,Sillica mixtures ,0.387748226,57190.0,81.48043752,0.0,0.0,0.0,6.485226005,0.0,0.0,0.0,0.0,7.339634746,4.694701359,0.0,0.0,0.0,0.0,0.0
66,Sillica mixtures ,2.808691871,62063.0,69.14500594,0.0,6.16659075,0.611263188,13.09857517,0.0,0.0,6.329157203,0.0,4.649403691,0.0,0.0,0.0,0.0,0.0,0.0
67,Aluminosillicates,3.718844062,55528.0,69.93488073,1.550628059,2.630529366,3.725346178,12.10590899,0.0,0.0,3.846189007,0.74023935,5.466270447,0.0,0.0,0.0,0.0,0.0,0.0
68,Metallic Fe,1.070438804,60137.0,75.38044453,0.0,1.805708744,0.0,1.363727916,0.0,0.0,0.0,9.356600046,12.09351346,0.0,0.0,0.0,0.0,0.0,0.0
69,Sillica mixtures ,0.5483588,58298.0,84.31968689,3.63801159,0.0,2.416740544,8.698415011,0.0,0.927132275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Metallic Fe,1.136499846,59733.0,77.80222297,0.0,6.130806357,0.0,0.0,0.0,0.0,0.0,0.0,16.06696844,0.0,0.0,0.0,0.0,0.0,0.0
71,Sillica mixtures ,0.518464297,53473.0,89.01316524,0.0,0.0,0.0,8.987307549,0.0,0.0,0.0,0.0,1.999531128,0.0,0.0,0.0,0.0,0.0,0.0
72,Sillica mixtures ,0.447733085,53965.0,84.89567041,0.0,2.128235251,0.388390874,6.425529718,0.0,0.0,1.495524403,1.089302637,3.577357158,0.0,0.0,0.0,0.0,0.0,0.0
73,Aluminosillicates,4.978886343,55722.0,71.35545015,1.670074649,2.642787062,3.832833841,11.93892583,0.0,0.0,3.641022369,0.566339586,4.352562129,0.0,0.0,0.0,0.0,0.0,0.0
74,Sillica mixtures ,0.32721016,55519.0,88.06464076,0.0,0.0,2.901194803,9.034164995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Sillica mixtures ,0.669901522,53636.0,74.29005504,0.0,13.28307688,0.0,7.228595018,0.0,0.0,0.0,0.0,5.19827269,0.0,0.0,0.0,0.0,0.0,0.0
76,Sillica mixtures ,1.114233221,57316.0,82.00990558,0.0,0.0,1.698171534,8.44964534,0.0,0.0,1.311020274,0.0,6.531246752,0.0,0.0,0.0,0.0,0.0,0.0
77,Aluminosillicates,1.193212681,53032.0,80.46740294,2.792290971,0.0,5.035062134,9.740682691,0.0,0.0,1.964550279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Aluminosillicates,3.444398087,60370.0,72.7555871,1.813273318,1.897406019,4.808495194,10.32651365,0.0,0.0,2.852600068,1.114256028,4.431865737,0.0,0.0,0.0,0.0,0.0,0.0
79,Sillica mixtures ,0.664781181,58010.0,88.49366307,0.0,0.0,0.734209036,8.236018568,0.0,0.0,0.0,0.0,2.536099963,0.0,0.0,0.0,0.0,0.0,0.0
80,Sillica mixtures ,0.762163141,58348.0,81.73211813,0.0,0.0,0.0,8.565810323,0.0,0.0,0.0,1.536027528,8.16604495,0.0,0.0,0.0,0.0,0.0,0.0
81,Metallic Fe,2.08371971,60868.0,63.37078214,0.0,0.0,0.0,0.546046812,0.0,0.0,0.0,9.452487528,26.63067579,0.0,0.0,0.0,0.0,0.0,0.0
82,Aluminosillicates,2.129140837,55768.0,74.23570156,1.548162755,2.899079584,3.574929386,10.23397073,0.0,0.0,2.910923399,0.634649768,3.962583467,0.0,0.0,0.0,0.0,0.0,0.0
83,Aluminosillicates,0.496009197,53565.0,83.22482109,0.0,0.0,5.267089605,8.531340957,0.0,0.0,1.152461953,0.0,1.82428658,0.0,0.0,0.0,0.0,0.0,0.0
84,Sillica mixtures ,1.002298652,53538.0,80.25851846,0.0,2.956924401,1.714138687,8.870615065,0.0,0.0,2.678273991,0.0,3.521526977,0.0,0.0,0.0,0.0,0.0,0.0
85,Aluminosillicates,3.479601313,60835.0,69.87835169,3.134422377,2.37922743,4.398539662,13.37346286,0.0,0.0,3.722547367,0.371534075,2.741915733,0.0,0.0,0.0,0.0,0.0,0.0
86,Aluminosillicates,0.542091636,57523.0,83.55404139,0.0,0.0,7.084171474,7.127301395,0.0,0.0,2.234487422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Oxygen only,0.393579353,59219.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Aluminosillicates,1.864468792,61906.0,78.11392546,2.837724239,0.0,4.589622095,10.2587238,0.0,0.0,2.231591009,0.0,0.891286414,1.077128015,0.0,0.0,0.0,0.0,0.0
89,Aluminosillicates,2.684277725,62077.0,76.50085688,2.441633679,0.769458339,4.359104484,9.23846066,0.0,0.0,1.498941053,0.929742772,4.261801764,0.0,0.0,0.0,0.0,0.0,0.0
90,Aluminosillicates,2.001754306,55961.0,73.54369164,2.586137876,0.0,8.940280974,11.15929633,0.0,0.0,3.770596907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Sillica mixtures ,0.393579353,59335.0,87.78982759,0.0,0.0,0.0,5.420736969,0.0,0.0,0.0,0.0,6.789431721,0.0,0.0,0.0,0.0,0.0,0.0
92,Metallic Fe,0.613083776,54638.0,71.0395515,0.0,2.327878587,0.0,1.49098048,0.0,0.0,0.0,1.987871528,23.15371782,0.0,0.0,0.0,0.0,0.0,0.0
