Id,Class,Subclass,Area (æmý),Aspect Ratio,Breadth (æm),ECD (æm),Shape,Stage X,Stage Y,Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Al Wt%,Al Wt% ?,Si Wt%,Si Wt% ?,Cl Wt%,Cl Wt% ?,K Wt%,K Wt% ?,Ca Wt%,Ca Wt% ?,Ti Wt%,Ti Wt% ?,Fe Wt%,Fe Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
2412,Aluminosillicates,Si rich,1.749386405,1.334143141,1.409942941,1.492443617,1.055814124,8.562235096,-8.154286905,60628,79.89071012,1.523651555,2.97130309,0.595416315,,,5.457317829,1.555642765,9.564299881,0.46352949,,,,,,,,,2.116360515,0.237330585,,,,,,,,,,,,
2413,Metallic Fe,,1.153004676,1.386634254,1.09505599,1.211631606,1.052426198,8.585775222,-8.152379443,58177,78.579849,0.913683604,,,,,0,1.572386734,2.659169026,0.315181259,,,,,,,,,,,8.387455344,0.455817906,,,,,10.37352383,0.611841073,,,,
2414,Sillica mixtures ,,1.987939097,1.651785131,1.268948647,1.590950241,1.053851229,8.501873325,-8.149261191,54470,80.99207878,1.829852164,,,,,0.464292103,1.934837736,11.13260388,0.582875591,,,,,,,,,0.861647632,0.274535292,,,,,,,4.2138502,0.47746608,2.33553648,0.595673081,,
2415,Aluminosillicates,Si rich,1.550592496,1.376036881,1.296074279,1.405089208,1.062642995,8.628481549,-8.147591403,57990,79.38098311,1.588657312,,,1.788088679,0.403183885,3.953221068,1.666655391,8.70539844,0.463802973,,,,,,,,,2.205231413,0.255825859,,,,,,,3.967076913,0.425887387,,,,
2416,Aluminosillicates,Si rich,30.13715671,1.992655545,4.586108988,6.194499148,1.343573789,8.600427842,-8.148949174,51789,67.07295775,1.032591425,4.183947667,0.341815059,1.144495234,0.186860911,3.384494781,0.920949411,15.82577825,0.4607521,,,,,,,1.243569888,0.12543808,1.9492127,0.144925434,0.779181579,0.124797458,,,,,4.416355491,0.256071519,,,,
2472,Sillica mixtures ,,0.874693203,1.317074522,0.986960059,1.055317002,1.013596872,8.632863326,-8.151814447,56784,82.89180994,2.712897211,,,2.684617229,0.770835439,3.913557529,2.83390861,7.334713638,0.699906657,,,,,,,,,,,,,,,,,3.175297007,0.715185795,,,,
2473,Aluminosillicates,Si rich,1.729507014,2.18560186,1.096678236,1.483939596,1.446179453,8.668249145,-8.150574458,56743,83.42838883,1.496745646,,,,,3.99088487,1.58255361,9.576702863,0.481370836,,,,,,,3.004029021,0.291850488,,,,,,,,,,,,,,
2474,Sillica mixtures ,,0.954210767,1.392838157,0.996980215,1.10224266,1.037353732,8.661617983,-8.149185502,59606,89.21063542,2.982053161,,,,,2.619148605,3.12487185,6.420087814,0.706216739,,,,,,,,,1.750126481,0.48345346,,,,,,,,,,,,
2475,Aluminosillicates,Si rich,6.202369982,1.412116597,2.592142886,2.810178417,1.230210023,8.649844541,-8.126804571,51850,71.53339982,1.096544415,1.603342593,0.402357103,4.192756116,0.315104797,2.853294648,1.048916206,12.42486089,0.423125084,,,,,,,,,4.232238978,0.2332045,,,,,,,3.160108253,0.273660873,,,,
2476,Aluminosillicates,Si rich,3.856601848,1.348248108,2.114914412,2.215937269,1.153777187,8.646879658,-8.125545002,54493,79.83573079,1.32665541,,,2.129635029,0.350648072,3.134516627,1.318076812,8.109763265,0.403638277,,,,,,,,,1.329345256,0.195136911,0.967636239,0.214295904,,,,,4.493373632,0.381671637,,,,
2477,Sillica mixtures ,,1.411436759,1.266852777,1.268948647,1.340558502,1.018660763,8.667300963,-8.118289605,57483,87.82275915,1.065212674,,,,,,,7.612486929,0.708698016,,,,,,,,,,,,,,,,,4.564749822,0.836670119,,,,
2478,Sillica mixtures ,,1.23252224,1.425209375,1.127954353,1.252715473,1.065078641,8.729757998,-8.117104904,54171,69.24859881,1.002215222,,,11.13790199,0.592045952,,,8.14884454,0.434699375,,,,,,,,,,,,,,,,,9.954591095,0.553115085,1.510060206,0.494961394,,
2479,Aluminosillicates,Si rich,4.651777487,2.342031207,1.755136747,2.433685898,1.516060328,8.726516931,-8.117679146,57967,77.57233381,1.535489503,3.270807117,0.578354439,,,5.486729369,1.593119092,11.12829223,0.506331027,,,,,,,,,2.541828156,0.256055896,,,,,,,,,,,,
2480,Sillica mixtures ,,1.093366503,1.649242077,0.996980215,1.179880277,1.154786435,8.653334563,-8.115795911,59484,83.47302079,0.842381455,,,,,0,1.89362634,5.707557127,0.429958012,,,,,,,,,,,2.19471734,0.346451602,,,,,8.624710888,0.617665565,,,,
2481,Sillica mixtures ,,1.192763458,1.230396133,1.196376258,1.232344758,1.017345325,8.727776946,-8.114855256,55463,77.58319378,0.940037519,,,5.444473028,0.525963027,,,9.602692723,0.493850978,,,,,,,,,3.907736763,0.329110492,,,,,,,3.461904824,0.446606567,,,,
2482,Aluminosillicates,Si rich,1.709627623,1.831170949,1.136838705,1.475386558,1.203596938,8.647796979,-8.103546878,57470,80.17953634,1.556754299,2.597753517,0.608487753,,,5.707288161,1.578743756,9.015068412,0.460723275,,,,,,,,,2.500355244,0.260194787,,,,,,,,,,,,
2483,Sillica mixtures ,,3.637928547,1.373896079,1.973920117,2.152197595,1.102571902,8.684731496,-8.10159701,57487,77.61606574,1.111716125,,,4.238050058,0.344216172,1.534631569,1.135186851,9.562753141,0.375811406,,,,,,,,,2.854843438,0.207499741,,,,,,,4.193659499,0.326496758,,,,
2484,Sillica mixtures ,,3.061426209,1.885590945,1.495470322,1.974317328,1.185730714,8.652427894,-8.096623462,56207,78.64941359,0.853782054,,,2.690683864,0.321911601,0,1.12429224,8.391898125,0.358764967,1.877105422,0.553419301,,,,,,,2.477785572,0.197884673,1.504654996,0.195852341,,,,,4.408468306,0.332057197,,,,
2492,Aluminosillicates,Si rich,5.466832517,1.201849768,2.537897294,2.638292506,1.09111463,8.811685942,-8.163926443,61110,73.35910797,0.949094445,1.508205477,0.323376199,3.833154589,0.264739571,3.332910687,0.84975576,9.877774119,0.330639235,,,,,,,,,3.399896994,0.181419507,0.743019674,0.12980157,,,,,3.94593887,0.252108229,,,,
2493,Aluminosillicates,Si rich,9.64150462,1.522220594,2.96520202,3.503704461,1.354624021,8.785037261,-8.163728821,59208,72.30133414,1.08761033,3.552259877,0.392469158,,,8.732867986,1.095495373,11.1519292,0.377781922,,,,,,,,,2.897963487,0.186954555,,,,,,,1.363649964,0.206570164,,,,
2494,Sillica mixtures ,,3.220461337,1.252769234,1.873096729,2.024949068,1.054464509,8.863120033,-8.154739926,54147,75.49562454,1.324602496,3.127010167,0.500665465,2.040938474,0.335633825,2.383452468,1.271114778,9.249055386,0.414986722,,,,,,,,,2.336979657,0.211436022,1.004279684,0.199751835,,,,,4.362662509,0.356566766,,,,
2495,Sillica mixtures ,,0.874693203,1.581133141,0.845965765,1.055317002,0.993994195,8.773853237,-8.149382739,53553,82.68994093,2.16882322,,,1.953688636,0.589477457,1.229877491,2.289080806,8.997622877,0.608528638,,,,,,,,,1.717054471,0.35228827,,,,,,,3.411815315,0.559678162,,,,
2496,Sillica mixtures ,,0.795175639,1.774132354,0.82971077,1.006205281,1.167881862,8.827540101,-8.139202124,56151,85.68946123,1.691542938,,,,,0,4.604200646,9.142947942,0.955166761,,,,,,,,,,,,,,,,,,,5.167598277,1.513547078,,
2497,Sillica mixtures ,,0.874693203,1.534300878,0.937146389,1.055317002,1.203837695,8.847129282,-8.136320206,53689,88.63297701,2.725620568,,,,,2.354947478,2.900265157,9.012078494,0.735844532,,,,,,,,,,,,,,,,,,,,,,
2498,Aluminosillicates,Si rich,4.234310277,1.84180046,1.864099988,2.321915435,1.368597911,8.802140722,-8.132796767,52832,75.71597695,1.421562023,4.890267923,0.562098343,,,5.857501552,1.474590972,12.49062493,0.511678541,,,,,,,,,1.045633294,0.205226941,,,,,,,,,,,,
2499,Sillica mixtures ,,1.490954323,1.510314235,1.127954353,1.377803325,0.985256873,8.827372771,-8.130883949,54370,86.29990816,1.83528699,,,,,2.176263928,1.861996204,6.888326257,0.506663974,,,,,,,,,0.967361312,0.281555206,1.754483394,0.33907881,,,,,1.913658157,0.440775603,,,,
2500,Aluminosillicates,Si rich,5.705385208,2.060946034,1.994547277,2.695240632,1.30729398,8.862622507,-8.131195336,62089,77.32511163,0.992547255,4.162497818,0.405228883,,,3.362772241,1.010968164,14.43784535,0.410001958,,,,,,,,,0.711778179,0.130090653,,,,,,,,,,,,
2501,Aluminosillicates,Si rich,0.894572594,1.187062541,1.09505599,1.067241867,1.057923266,8.879395388,-8.129450294,55527,77.01610327,1.400112454,1.68333631,0.540160714,2.718198672,0.370956329,3.940944374,1.389289461,9.202241898,0.427645165,,,,,,,,,2.573783509,0.229578512,,,,,,,2.865377255,0.343687763,,,,
2502,Aluminosillicates,Si rich,15.70471887,1.168019087,4.543971885,4.471674082,1.410396388,8.843017703,-8.129142478,59783,72.78183103,0.87185055,1.894967072,0.282418565,3.144726902,0.21752778,4.180663079,0.816022884,11.16479263,0.318619399,,,,,,,,,2.819069661,0.146229041,0.403342815,0.099539768,,,,,3.610603884,0.217109802,,,,
2503,Sillica mixtures ,,0.874693203,1.264906513,0.996980215,1.055317002,1.013596872,8.886713663,-8.125197275,57802,81.26498461,1.772613078,,,2.206144296,0.504497904,2.569350973,1.836409979,7.896273583,0.505697681,,,,,,,,,2.02415809,0.300887902,,,,,,,4.039094597,0.483277626,,,,
2504,Aluminosillicates,Si rich,6.281887546,1.996657782,2.216235921,2.828135011,1.472950168,8.836797469,-8.123945356,54960,77.33786106,1.315170713,,,,,7.705064863,1.38954334,10.0458093,0.425142562,,,,,,,,,4.91126366,0.273609464,,,,,,,,,,,,
2523,Sillica mixtures ,,4.293948449,1.325216201,2.193356472,2.338209779,1.166613794,8.917990984,-8.16146355,57709,74.81810451,1.163106691,1.471639704,0.441841967,1.500283275,0.293176249,1.148782857,1.093113888,8.912952989,0.368354609,,,,,,,,,1.234704722,0.164243253,1.121713035,0.180164678,,,,,9.791810811,0.445941463,,,,
2524,Aluminosillicates,Si rich,2.385526916,1.484967842,1.533813162,1.74279867,1.125580117,8.931655756,-8.157754418,55501,76.34854317,1.49224801,2.687511966,0.586080784,1.811647601,0.397146447,3.37982364,1.491285022,10.01452729,0.471825385,,,,,,,,,2.486780658,0.264762808,,,,,,,3.271171078,0.376296183,,,,
2525,Sillica mixtures ,,0.834934421,1.220518214,0.986960059,1.031053598,0.992575059,8.904575614,-8.154879257,56719,86.12892628,2.308362909,,,,,3.015578724,2.411203086,7.651914656,0.609916402,,,,,,,,,1.502980106,0.372155407,,,,,,,1.70060005,0.52796565,,,,
2526,Sillica mixtures ,,5.029485915,1.641275349,2.077769861,2.530561273,1.185994163,8.934045059,-8.155349938,55590,73.11866879,0.894943159,,,4.224214703,0.435156235,,,11.67657673,0.472473493,,,,,,,,,4.435119405,0.290367659,,,,,,,6.545418501,0.441722106,,,,
2527,Sillica mixtures ,,2.007818488,1.225649072,1.495470322,1.598885205,0.993525646,8.907675687,-8.154305462,61083,76.0387361,0.867543556,1.597779058,0.499322219,6.11702837,0.428765127,,,9.947949648,0.416227663,,,,,,,,,4.187414795,0.269530504,,,,,,,2.111098357,0.315639516,,,,
2528,Aluminosillicates,Si rich,2.544562044,1.455278431,1.691931529,1.799954727,1.240301493,8.902732877,-8.151783201,56613,76.39074326,1.238663495,,,1.896116138,0.335676526,3.347608075,1.174055226,8.556810766,0.402126694,,,,,,,,,2.156499028,0.213973317,1.05534289,0.21305352,,,,,6.596866995,0.417453656,,,,
2529,Sillica mixtures ,,4.333707231,1.182727224,2.293054494,2.349009881,1.0178682,8.894968855,-8.148846886,54337,72.25273848,0.937198661,,,5.976667255,0.322880293,0.464400509,0.87873172,12.33554035,0.388039649,,,,,,,,,5.633539706,0.238387589,,,,,,,3.337113932,0.264424598,,,,
2530,Aluminosillicates,Si rich,0.854813812,2.408210009,0.704971471,1.04325584,1.37278097,9.034681448,-8.1445977,53141,73.43232632,1.123040449,2.096329816,0.387415895,1.671797968,0.256403582,3.850981593,1.071366388,11.09900996,0.397702865,,,,,,,,,2.650364675,0.179374882,0.843945984,0.15240194,,,,,4.355243221,0.28596709,,,,
2531,Sillica mixtures ,,1.391557368,1.273896279,1.261932501,1.331084471,1.087748831,8.963902668,-8.144821781,56194,83.25251341,0.938914623,4.143248498,0.811352674,,,0,1.997085288,12.6042366,0.582833495,,,,,,,,,,,,,,,,,,,,,,
2532,Sillica mixtures ,,24.29261576,1.282338258,5.819017677,5.561503307,1.69688019,8.937679646,-8.145468781,61976,67.10652709,0.779238716,,,4.907020554,0.238874601,1.142323203,0.643945904,13.50957602,0.340365153,,,,,,,,,6.472118944,0.212709326,,,,,,,6.86243847,0.27819525,,,,
2533,Aluminosillicates,Si rich,2.8626323,1.35683706,1.766536355,1.90914029,1.052931643,8.994773121,-8.142468127,53724,75.80525875,1.252251863,2.192635462,0.461957185,1.863822155,0.310731702,4.499611259,1.1691981,8.628153801,0.392359914,,,,,,,,,2.111448348,0.200457592,0.909238588,0.186826044,,,,,3.989831358,0.327591598,,,,
2534,Sillica mixtures ,,1.530713105,1.476617424,1.196376258,1.396053171,1.024689024,9.019021786,-8.141686382,57502,77.60985494,1.787746884,2.33860109,0.719854562,2.020469308,0.486988015,0.660993578,1.842460781,9.497823566,0.516526494,,,,,,,,,2.347797342,0.280045765,,,,,,,5.524451286,0.494476454,,,,
2535,Aluminosillicates,Si rich,5.74514399,1.195463903,2.891242623,2.70461541,1.46785251,8.920045627,-8.14242272,52418,75.47491193,1.122073084,1.83018595,0.414183782,1.876288094,0.285194279,2.575087361,1.105373353,14.78988975,0.47590849,,,,,,,,,1.206047088,0.159217359,,,,,,,2.247603051,0.258646533,,,,
2565,Metallic Fe,,3.021667427,1.342501543,1.794564386,1.961455189,1.044464415,8.294342689,-8.04246056,60439,65.76349139,0.987116061,,,,,,,1.385404915,0.209391071,,,,,,,,,,,6.960250437,0.325349811,,,,,25.89084506,0.806858391,,,,
2566,Aluminosillicates,Si rich,1.073487112,1.491465341,0.986960059,1.169104889,1.005798253,8.37018965,-8.039823518,56997,78.48335505,1.618685946,4.085500166,0.676863361,,,6.179001927,1.647013985,10.27451605,0.513982773,,,,,,,,,0.97762337,0.235156063,,,,,,,,,,,,
2567,Aluminosillicates,Al rich,1.23252224,1.694599586,1.081625316,1.252715473,1.31788353,8.352404818,-8.033676044,59778,83.70967507,2.398207225,,,,,7.470022142,2.457939275,4.877638817,0.599124329,,,,,,,,,,,,,,,,,3.942657635,0.689832168,,,,
2568,Aluminosillicates,Si rich,3.459014029,1.219554,2.093658451,2.098607502,1.460074803,8.301648465,-8.034259721,52714,77.7882278,1.419063285,4.678064585,0.626505865,,,4.276274145,1.457793638,13.25743645,0.532960938,,,,,,,,,,,,,,,,,,,,,,
2569,Sillica mixtures ,,1.490954323,1.600042381,1.198539869,1.377803325,1.143510636,8.265972624,-8.032962718,55303,80.39885759,1.814685017,5.061918125,0.741652725,,,3.453631327,1.88478902,9.450042248,0.531992875,,,,,,,,,1.635539718,0.271167536,,,,,,,,,,,,
2570,Sillica mixtures ,,2.942149863,1.289420674,1.832925823,1.935474503,1.061672428,8.29346682,-8.033016668,55455,74.9027431,1.291628182,2.794201113,0.519753247,3.429675475,0.36370405,2.232338674,1.279340778,10.51921546,0.433156407,,,,,,,,,2.823550068,0.229567569,,,,,,,3.298285604,0.325183873,,,,
2571,Aluminosillicates,Si rich,8.110791516,1.411950176,3.10187447,3.213561964,1.430295352,8.302766147,-8.031013297,58732,72.38866091,0.830783509,,,4.900820181,0.261472352,1.490418706,0.70861252,10.73703617,0.322029623,,,,,,,,,4.456864297,0.188837538,0.697573693,0.119541574,,,,,5.32861948,0.261967396,,,,
2572,Aluminosillicates,Si rich,6.341525719,1.100207097,2.891242623,2.84152799,1.067879514,8.254825203,-8.03017811,54377,73.68522286,1.004231162,2.419866808,0.37708634,,,3.642331436,0.978315249,14.4193545,0.429590419,,,,,,,1.546967216,0.156070828,0.712320069,0.134383433,,,,,,,3.573939949,0.275976793,,,,
2573,Aluminosillicates,Si rich,7.236098313,1.770103237,2.709312664,3.035339606,1.59458654,8.315727737,-8.027870371,58395,75.32589436,1.265839301,5.065733567,0.513510825,,,3.488734737,1.311545912,13.23425472,0.466672564,,,,,,,0.72951098,0.169887848,0.726496521,0.161829812,,,,,,,1.429379079,0.250646705,,,,
2574,Aluminosillicates,Si rich,3.777084284,1.425195902,2.039489117,2.192973569,1.30020684,8.255800106,-8.026368158,56655,82.01245666,1.221642084,,,,,3.506759927,1.231669728,7.907785475,0.376205775,,,,,,,,,0.951371621,0.1712205,0.716265896,0.201831828,,,,,4.905361682,0.373143819,,,,
2575,Sillica mixtures ,,0.934331376,1.355256978,0.986960059,1.090700534,0.99394201,8.28751786,-8.024434807,59124,86.6533637,1.067059301,,,,,,,6.83042258,0.699561648,,,,,,,,,,,,,,,,,6.51620999,0.834029354,,,,
2576,Aluminosillicates,Si rich,5.427073735,1.563526483,2.461318104,2.628681208,1.516620317,8.368160389,-8.022346563,52603,72.32705951,0.927775167,,,4.339049011,0.305534969,2.008233778,0.869444013,11.28427982,0.368340407,,,,,,,,,2.572364919,0.173398363,,,,,,,7.469008118,0.350433472,,,,
2577,Aluminosillicates,Si rich,4.134913322,1.088273456,2.378353803,2.294501069,1.098774228,8.259170561,-8.022127638,61175,76.94037557,1.134926174,,,,,6.141683087,1.142683532,7.894666493,0.334291114,,,,,,,,,3.010359779,0.19540654,0.865293108,0.154610991,,,,,5.14761731,0.319507811,,,,
2626,Sillica mixtures ,,1.610230669,1.314404231,1.296074279,1.431855217,0.974087097,8.390075444,-8.040736113,59523,80.14261723,1.532204356,,,1.483504754,0.388278649,1.130525395,1.556707174,8.810456097,0.473484118,,,,,,,,,2.257543616,0.249674078,0.784655008,0.251924107,,,,,5.390695482,0.454426324,,,,
2627,Sillica mixtures ,,0.934331376,1.355256978,0.986960059,1.090700534,0.99394201,8.372308467,-8.040228382,56402,79.83624339,1.978852786,4.795008898,0.838358887,,,3.429010138,2.058339305,10.59006676,0.601257337,,,,,,,,,1.349671558,0.300276442,,,,,,,,,,,,
2628,Sillica mixtures ,,0.954210767,1.185306596,1.096678236,1.10224266,0.991803062,8.375268885,-8.040078015,54117,84.05781984,3.035325371,,,,,4.805453494,3.213017061,7.073062658,0.762868673,,,,,,,,,,,,,,,,,4.063664004,0.825059135,,,,
2629,Sillica mixtures ,,2.027697879,1.401586161,1.495470322,1.606780982,1.091650919,8.400929718,-8.039996774,53195,81.67020679,2.32387241,5.577042326,1.029992383,,,2.723216265,2.414399013,10.02954468,0.675508659,,,,,,,,,,,,,,,,,,,,,,
2630,Sillica mixtures ,,0.914451985,1.499955302,0.981373724,1.079034952,1.082456069,8.462961987,-8.038249439,54462,87.13210225,2.819937095,,,,,0.323899626,2.995215543,7.0752047,0.693581998,,,,,,,,,1.979379728,0.463533169,,,,,,,3.489405289,0.699776318,,,,
2631,Aluminosillicates,Si rich,4.910209569,1.859609178,2.014565474,2.500374571,1.355850469,8.392324646,-8.038614067,61452,76.99430585,1.241843682,3.749429062,0.482067652,,,4.611057416,1.263363846,11.4420943,0.424217805,,,,,,,0.988532323,0.164958648,1.285550091,0.180661317,,,,,,,0.929034129,0.230465736,,,,
2632,Aluminosillicates,Si rich,4.09515454,1.524127615,2.047748814,2.283443168,1.213264881,8.447593239,-8.0381571,60974,77.49691606,1.436797157,1.837797649,0.551089598,1.618548669,0.34953095,4.231592268,1.437741052,9.692268819,0.439917203,,,,,,,,,2.839459665,0.247150473,,,,,,,2.283408307,0.321858283,,,,
2633,Aluminosillicates,Si rich,4.731295051,1.327242946,2.293054494,2.454398492,1.180294843,8.488899004,-8.036334389,57180,75.31479597,1.285032928,3.626283258,0.475203479,,,5.009562895,1.329529379,11.16531044,0.429481314,,,,,,,,,3.106522746,0.217064912,,,,,,,1.77752208,0.259544863,,,,
2634,Aluminosillicates,Si rich,19.95890853,1.367254275,4.611616473,5.041078418,1.36872997,8.416708502,-8.03599896,61677,70.6361115,0.834102463,1.114363037,0.261796825,3.876713663,0.231338781,1.692345366,0.74054054,10.66662073,0.300470856,,,,,,,,,3.94837372,0.164064753,0.691873534,0.108395109,,,,,7.373587787,0.286203763,,,,
2635,Sillica mixtures ,,1.053607721,1.266216506,1.096678236,1.158229259,0.981669787,8.409789549,-8.032777979,59080,80.14956117,0.810629409,,,4.365479574,0.46371459,,,8.153808117,0.418269588,,,,,,,,,4.349431396,0.296506705,,,,,,,2.981715463,0.384905515,,,,
2636,Sillica mixtures ,,1.03372833,1.28563019,1.096678236,1.147250534,0.982626171,8.39751418,-8.029996942,57659,81.25633597,1.694795117,2.973253094,0.701892236,,,3.157052025,1.732377708,10.59183553,0.533445599,,,,,,,2.021526918,0.288976147,,,,,,,,,,,,,,
2637,Sillica mixtures ,,8.548138117,1.341904462,3.190336687,3.299064638,1.192455473,8.402167861,-8.030264199,60526,68.14391613,1.035434846,2.539307252,0.367635419,,,1.607463695,0.88386545,8.778786659,0.314057851,,,0.305638392,0.239046826,,,0.436317222,0.109452091,0.94553493,0.118172937,3.412269801,0.190329016,,,,,13.83078098,0.46752491,,,,
2638,Aluminosillicates,Si rich,5.52647069,1.154282471,2.678891588,2.652644157,1.098951753,8.448407062,-8.028002884,55236,74.09827709,1.115388144,1.856741495,0.35841316,,,9.009185433,1.131579001,10.59846804,0.373868225,,,,,,,,,4.437322915,0.217502634,,,,,,,,,,,,
2690,Sillica mixtures ,,1.272281022,1.662034688,1.073049812,1.272760193,1.189725284,8.547263736,-8.03923958,54142,85.44492126,2.986057848,,,,,0.132762629,3.212868422,8.591257036,0.784640666,,,,,,,,,1.658965275,0.504088495,,,,,,,4.172101617,0.810355134,,,,
2691,Aluminosillicates,Si rich,10.31740391,1.646116168,2.889226506,3.624434668,1.278733631,8.604085045,-8.039341677,57466,76.11140609,0.970093347,,,2.135858685,0.243673497,2.420242503,0.935404189,10.72774529,0.358529529,,,,,,,,,2.244332992,0.160789094,1.095125359,0.146051485,,,,,5.26529178,0.292344484,,,,
2692,Sillica mixtures ,,2.962029254,1.461417286,1.794564386,1.94200226,1.242222725,8.550362024,-8.038101811,57090,78.09121013,1.496637519,,,2.544945292,0.437422516,2.617610432,1.550007612,10.28666571,0.498039555,,,,,,,,,3.085691482,0.28929254,,,,,,,3.373873606,0.398214813,,,,
2693,Metallic Fe,,5.287917998,1.204273696,2.483569646,2.594761319,1.0793097,8.504109878,-8.036274313,55812,65.67782164,1.278404053,,,,,2.165944502,1.254695188,2.484500036,0.267846812,,,,,,,,,0.80427276,0.16916903,1.750107855,0.219943188,,,,,27.11734772,0.885868352,,,,
2694,Aluminosillicates,Si rich,14.9691814,1.414404929,4.47804205,4.365701972,1.700043448,8.564594342,-8.035518843,60931,72.49000072,1.031746529,1.877507381,0.360943191,2.347073518,0.243951892,4.395885393,0.957464706,10.37912592,0.353963557,,,,,,,,,2.646738291,0.169081846,1.045069098,0.145792752,,,,,4.818598554,0.277415034,,,,
2695,Aluminosillicates,Si rich,2.922270473,1.289420674,1.832925823,1.928924655,1.042343358,8.528207283,-8.032250162,53062,77.14003921,1.344471518,2.598317154,0.486258743,1.483625919,0.300951791,5.087239668,1.351260114,9.649345279,0.418778695,,,,,,,,,2.553712949,0.223765732,,,,,,,1.487728208,0.273663714,,,,
2696,Aluminosillicates,Si rich,4.234310277,1.491976704,1.973243572,2.321915435,1.08604798,8.611673701,-8.031421932,52023,75.36730766,1.057149284,4.917196184,0.417841459,,,6.055183336,1.066182274,11.85722575,0.390341715,,,,,,,0.896012131,0.140648009,0.907068048,0.137555366,,,,,,,,,,,,
2697,Sillica mixtures ,,2.922270473,1.624068424,1.669916079,1.928924655,1.283261441,8.514811107,-8.031728593,54793,69.05701756,0.6838765,,,7.939742506,0.376368687,,,8.107969165,0.299088308,,,,,,,,,,,,,,,,,14.89527524,0.456753373,,,,
2698,Sillica mixtures ,,2.822873518,1.27738364,1.810279927,1.895836014,1.083736915,8.550763132,-8.031191786,57701,67.27296114,0.851896871,,,7.677336782,0.472590094,,,8.892098814,0.383787253,,,,,,,,,,,,,,,,,16.15761518,0.578917377,,,,
2699,Sillica mixtures ,,1.212642849,1.269201171,1.196376258,1.242571861,1.041200884,8.592054613,-8.02485728,59309,81.06987476,1.846925355,4.11580801,0.790020823,,,3.872946277,1.884862781,9.406863898,0.536099309,,,,,,,,,1.534502394,0.27714062,,,,,,,,,,,,
2700,Aluminosillicates,Si rich,4.472862968,1.349097326,2.255908706,2.386425362,1.097952443,8.601774243,-8.022006608,54409,74.78634715,1.068828721,2.023105323,0.394402072,1.920492202,0.258636498,3.409982845,0.987984519,9.978155792,0.364170386,,,,,,,,,2.299867384,0.171769818,1.226511411,0.157074584,,,,,4.355542362,0.290560443,,,,
2701,Sillica mixtures ,,0.993969548,1.699672241,0.897282193,1.124971704,1.105475964,8.56412226,-8.020010887,58373,87.52666712,2.598293312,,,,,0.429256726,2.777131647,8.952394873,0.684162602,,,,,,,,,,,,,,,,,3.091680072,0.657243142,,,,
2702,Aluminosillicates,Si rich,2.007818488,1.651785131,1.268948647,1.598885205,1.043417058,8.566080993,-8.015210856,55433,76.83941722,1.442539785,5.533275381,0.597989559,,,3.819939867,1.515724044,12.31399253,0.497054821,,,,,,,,,1.493380964,0.209514494,,,,,,,,,,,,
2728,Sillica mixtures ,,1.113245894,1.397537458,1.127954353,1.190558145,1.115770381,8.675721288,-8.040683368,55077,82.74364471,2.214044891,,,2.325182781,0.664987927,0.769201992,2.301637828,6.880984455,0.579622248,,,,,,,,,2.842313424,0.413655583,,,,,,,4.43867892,0.627773115,,,,
2729,Sillica mixtures ,,3.439134638,1.288126368,1.973243572,2.092568331,1.069891249,8.711814754,-8.040287109,52857,78.12929153,1.799805276,,,,,1.212154236,1.932926103,8.707922697,0.541409291,,,,,,,,,,,1.555983815,0.32159721,,,,,10.39464325,0.678001065,,,,
2730,Sillica mixtures ,,0.775296248,1.166190257,0.996980215,0.993548107,1.038756416,8.685716209,-8.0357169,56076,84.97366905,2.180008404,,,,,4.681482539,2.268609963,6.481055915,0.538295554,,,,,,,,,2.010047436,0.358332368,,,,,,,1.85374096,0.506328698,,,,
2731,Aluminosillicates,Si rich,4.452983577,1.202202008,2.255908706,2.381116289,1.02392174,8.63354635,-8.035177092,52217,73.74827862,1.087462995,,,2.323791571,0.262964144,4.031351581,1.031852048,10.40932238,0.388734974,,,,,,,,,2.95029562,0.192857941,1.004644018,0.159545662,,,,,5.532317981,0.329706026,,,,
2732,Sillica mixtures ,,0.894572594,1.456861921,0.986960059,1.067241867,1.106510648,8.71644433,-8.032940712,53133,82.90219903,2.579942159,4.154700413,1.10206306,,,4.023135081,2.609642036,7.639893144,0.661820965,,,,,,,,,1.28006842,0.399457896,,,,,,,,,,,,
2733,Aluminosillicates,Si rich,15.48604557,2.099014597,3.487739433,4.440433043,1.713522863,8.756901902,-8.030415711,59352,74.69217777,1.221024618,1.462536212,0.417079544,2.205890976,0.298405532,3.264725953,1.189158577,10.95968559,0.417951355,,,,,,,,,2.131502517,0.185043819,0.552693196,0.163864333,,,,,4.730786756,0.331785204,,,,
2734,Sillica mixtures ,,1.550592496,1.475501153,1.299703888,1.405089208,1.191174909,8.697393234,-8.027643216,56899,83.53930712,1.819431782,,,,,1.083507389,1.9556541,9.318058938,0.537551846,,,,,,,,,2.177750506,0.299221813,,,,,,,3.881368041,0.467106095,,,,
