Id,Class,Subclass,Area (æmý),Aspect Ratio,Breadth (æm),ECD (æm),Shape,Stage X,Stage Y,Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Al Wt%,Al Wt% ?,Si Wt%,Si Wt% ?,Cl Wt%,Cl Wt% ?,K Wt%,K Wt% ?,Ca Wt%,Ca Wt% ?,Ti Wt%,Ti Wt% ?,Fe Wt%,Fe Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
21,Aluminosillicates,Si rich,0.819428496,1.17427744,1.014925886,1.02143466,1.231774224,6.890071122,-11.58799177,58591,79.91221547,1.376884338,,,,,3.598152474,1.442057267,9.905096143,0.455687381,,,,,1.477355883,0.226671319,,,5.107187107,0.426615356,,,,,,,,,,,,
22,Aluminosillicates,Si rich,1.379430939,1.35730768,1.245287569,1.325272056,1.37812253,6.894892433,-11.58776501,59405,80.74499369,1.719788834,2.552174591,0.6926334,,,4.926263541,1.741362736,9.025738388,0.504368776,,,,,2.75082998,0.296571269,,,,,,,,,,,,,,,,
23,Oxigen+Cu(trace),,0.073354953,2.155192176,0.228879133,0.305611562,1.429689573,6.909904099,-11.58640623,53346,89.62110877,2.846009657,,,,,,,,,,,,,,,,,,,10.37889868,2.846009657,,,,,,,,,,
24,Aluminosillicates,Si rich,6.965142214,1.60820538,2.742601715,2.977968183,2.246891578,6.888711423,-11.58605034,54373,74.13569093,1.036290452,2.492798679,0.381675549,2.573559992,0.262433686,4.177798703,1.015636045,11.01436839,0.368879572,,,,,3.163006902,0.184693758,,,2.442775853,0.234240177,,,,,,,,,,,,
25,Aluminosillicates,Si rich,7.720161483,1.83653003,2.50271975,3.135221666,1.488502655,6.9219474,-11.58268813,52130,73.89878035,0.898210239,5.590903386,0.354658114,,,6.308528781,0.905558933,11.89995185,0.332154427,,,,,1.551780291,0.119659805,,,0.750057027,0.136787375,,,,,,,,,,,,
26,Aluminosillicates,Si rich,2.542375311,1.168877215,1.76465498,1.799181143,1.141762606,6.916017233,-11.5800421,54881,81.13743067,1.616596431,,,,,3.929853439,1.657822728,7.13513419,0.449292455,,,,,1.123246551,0.23663172,0.963628944,0.249354937,5.71070686,0.486362027,,,,,,,,,,,,
27,Sillica mixtures ,,0.28626323,1.521242411,0.534837437,0.603723169,1.167881862,6.916307829,-11.57830694,53286,82.86655545,1.077420544,,,,,0,2.891202085,10.33628061,0.700638676,,,,,1.609257236,0.417381153,,,5.187905952,0.723674567,,,,,,,,,,,,
28,Sillica mixtures ,,1.082432838,1.160327056,1.187378951,1.173966053,1.209692115,6.898621743,-11.5766287,58153,80.42939305,1.819155179,,,,,0.998486765,1.997745596,6.481635571,0.47057285,,,,,,,,,12.09048554,0.715228776,,,,,,,,,,,,
29,Metallic Fe,,0.450864587,1.349097326,0.676772612,0.757666564,1.039819053,6.91832354,-11.57369003,56196,76.17557645,0.979457982,,,,,,,3.013611585,0.361041795,,,,,,,2.301662602,0.321414648,18.50914359,0.82669938,,,,,,,,,,,,
30,Sillica mixtures ,,0.506328088,1.158444898,0.800779805,0.802917769,1.033321333,6.885073235,-11.57252634,55326,81.43455982,0.81665162,,,4.013778269,0.484638102,,,7.76854232,0.424135337,,,,,3.721292689,0.299570221,,,3.061835282,0.393829122,,,,,,,,,,,,
31,Sillica mixtures ,,0.905307465,1.675155444,0.90338131,1.073626222,1.443498261,6.899665,-11.57214175,58187,85.61336398,2.359742671,,,,,3.304728493,2.511945926,7.58561641,0.587554602,,,,,,,,,3.496281803,0.569275534,,,,,,,,,,,,
32,Sillica mixtures ,,0.164601357,1.511191901,0.388822284,0.457795759,1.04300415,6.908116178,-11.56945019,57349,85.17928123,2.82655172,4.450308532,1.240179222,,,1.076473668,2.905643173,9.293941408,0.728616863,,,,,,,,,,,,,,,,,,,,,,
35,Sillica mixtures ,,1.279238809,1.29800024,1.18435207,1.276235652,1.081627909,6.78581771,-11.54215102,54933,82.64209628,1.757776923,,,,,1.012131572,1.857481897,4.718455672,0.411270186,,,,,,,2.463429607,0.334407296,9.163878858,0.621429458,,,,,,,,,,,,
36,False Si ,,0.128818453,2.195604167,0.347304323,0.404989814,2.182326658,6.79880171,-11.51491198,59126,94.92356181,1.379209757,,,,,,,5.076437816,1.379210595,,,,,,,,,,,,,,,,,,,,,,
37,Aluminosillicates+NaCl,,10.84758727,1.280530772,3.548385146,3.71639302,1.375501218,6.819215483,-11.54081542,58434,71.26891017,0.943061057,4.430020601,0.350080174,0.720819086,0.184451719,6.499563903,0.928571168,13.43242079,0.371334096,0.337920571,0.110149465,1.20668048,0.125855568,1.316611189,0.125375984,,,0.787053164,0.160112209,,,,,,,,,,,,
38,Sillica mixtures ,,0.325624424,1.495926389,0.548978696,0.643892766,1.074315912,6.877258433,-11.53504452,54288,81.3765645,1.831862144,,,,,1.31526785,1.901756041,8.620762825,0.527486065,,,,,2.065799758,0.307265879,,,4.485574737,0.504582142,2.136024646,0.600083219,,,,,,,,,,
39,Sillica mixtures ,,0.343515876,1.684707913,0.551191608,0.661345596,1.180141667,6.845544901,-11.52495099,57902,83.92742872,2.072890848,2.912441827,0.874303933,,,3.699647263,2.08136756,7.708451152,0.53096083,,,,,1.752036251,0.316082081,,,,,,,,,,,,,,,,
40,Metallic Fe,,0.103770421,1.491465341,0.296088018,0.363489482,0.976668965,6.861785487,-11.52430739,59994,83.91836286,1.372531429,,,,,,,2.664655261,0.763323763,,,,,,,,,13.41697574,1.191337965,,,,,,,,,,,,
41,Aluminosillicates,Si rich,3.39400842,1.321203626,1.927539603,2.078794299,1.192261862,6.906277665,-11.55064168,62250,78.99137735,1.149821747,1.828123443,0.421706075,,,5.640021339,1.15644224,10.83941907,0.386414467,,,,,2.038884163,0.178499147,,,0.66217538,0.203502853,,,,,,,,,,,,
42,Sillica mixtures ,,0.769332431,2.448101627,0.747735161,0.989719391,1.999529376,6.910506517,-11.53696588,55628,80.86897135,1.759977266,,,1.97216142,0.483732577,3.545836732,1.818123646,8.521739393,0.5163447,,,,,2.063812129,0.305940141,,,3.027476557,0.463273283,,,,,,,,,,,,
43,Aluminosillicates,Si rich,0.613676799,1.759979155,0.676772612,0.883944324,1.132620131,6.909669911,-11.5265631,59360,83.32753778,1.808723807,,,,,4.250174761,1.892236806,9.392084926,0.544954697,,,,,1.514915936,0.286949729,,,1.515290048,0.426343083,,,,,,,,,,,,
44,Aluminosillicates,Si rich,0.924988062,1.321882886,1.016919819,1.085233329,1.561088263,6.911048874,-11.52122912,57212,82.57021904,1.32555142,,,,,5.268610269,1.346676331,6.996880472,0.370402471,,,,,0.86469911,0.173426874,0.971057825,0.194895535,3.328539431,0.334005011,,,,,,,,,,,,
45,Sillica mixtures ,,0.627989961,1.418387946,0.777644567,0.894193297,1.044613653,6.903602002,-11.52049132,59089,79.59476113,1.083846856,,,3.213857114,0.319120963,1.77078452,1.039230824,7.097992301,0.326017011,,,,,3.902475908,0.224404153,1.062733494,0.178018841,3.357390687,0.288952142,,,,,,,,,,,,
46,Sillica mixtures ,,1.130739758,2.361176236,0.857776395,1.199876067,1.516044753,6.910874325,-11.51953773,55985,75.54056048,1.271520555,,,5.362441763,0.419130921,1.533342525,1.295869704,9.270992875,0.418488914,,,,,4.983768612,0.28985464,,,3.308903426,0.338749913,,,,,,,,,,,,
47,Aluminosillicates,Si rich,3.617651569,1.387504391,1.988019547,2.146191286,1.462573258,6.925633006,-11.51843355,60386,74.85970259,0.920418184,1.098846644,0.310895592,3.520388156,0.241021253,3.432099149,0.866087433,10.3096731,0.317913038,,,,,2.970325947,0.156965246,0.361817074,0.107976003,3.447143361,0.223487662,,,,,,,,,,,,
48,Metallic Fe,,0.663772864,2.304403427,0.66533878,0.919315974,1.715336388,6.800861558,-11.50833462,59019,77.99808979,1.773797907,,,,,0.036975762,1.858909987,2.711701021,0.376809901,,,,,,,6.027862057,0.462705828,13.22537065,0.788267795,,,,,,,,,,,,
49,Aluminosillicates,Si rich,2.129082773,1.671188073,1.372586432,1.646460561,1.357193299,6.788356039,-11.49966072,54971,77.39113569,1.323589962,4.195393249,0.535538979,,,4.92954962,1.347088255,10.66925824,0.433905935,,,,,1.707880385,0.191959529,,,1.106790081,0.253165234,,,,,,,,,,,,
50,Aluminosillicates,Si rich,0.898150884,1.582589846,0.863519967,1.06937422,1.153655505,6.800684714,-11.49255784,60252,78.02884579,1.577853225,4.274680093,0.661914423,,,3.535026312,1.62225645,10.20091772,0.483862171,,,,,1.2432836,0.222726539,,,2.717246674,0.364859449,,,,,,,,,,,,
51,Aluminosillicates,Si rich,9.344705313,1.459513153,3.020850051,3.449354771,1.26514586,6.799574385,-11.48921977,55824,73.42235446,1.110169385,3.647425398,0.391309801,,,6.288329512,1.150070596,12.71056831,0.404825481,,,,,3.346331045,0.189519417,,,0.584992534,0.171490351,,,,,,,,,,,,
52,Oxygen only,,0.076933243,2.527838872,0.237820126,0.312976752,2.189926971,6.835026765,-11.51207238,59708,99.99999404,0.000370714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Aluminosillicates,Si rich,2.225696613,1.330108693,1.595080606,1.683402787,1.383053681,6.864595184,-11.51408999,56254,77.69363523,1.26075726,1.912566647,0.484398939,1.863002777,0.306012924,3.264717013,1.19361328,8.42173323,0.380770979,,,,,2.00942941,0.188239815,0.805237517,0.182396697,4.02966626,0.337958266,,,,,,,,,,,,
54,Aluminosillicates,Si rich,3.426213034,1.53949569,1.807944957,2.088633506,1.345835216,6.878163742,-11.4978044,53622,74.86390471,1.135195047,1.904867589,0.405419152,1.890284009,0.268877205,2.54328493,1.068126597,10.36750674,0.390171725,,,,,2.680161595,0.189182046,0.919799693,0.162560574,4.830186442,0.315194763,,,,,,,,,,,,
55,Aluminosillicates,Si rich,1.089589419,1.248687885,1.138642768,1.177840539,1.113175227,6.905171755,-11.51213945,55656,79.11630273,1.458050683,3.224846721,0.562430639,,,5.491273478,1.49089992,9.932561219,0.454027392,,,,,2.235018276,0.232348568,,,,,,,,,,,,,,,,
