Id,Class,Area (µm²),Aspect Ratio,Breadth (µm),Direction (°),ECD (µm),Length (µm),Perimeter (µm),Count,O Wt%,O Wt% ?,Na Wt%,Na Wt% ?,Mg Wt%,Mg Wt% ?,Si Wt%,Si Wt% ?,P Wt%,P Wt% ?,S Wt%,S Wt% ?,Cl Wt%,Cl Wt% ?,Ca Wt%,Ca Wt% ?,Cu Wt%,Cu Wt% ?,,,,,,,,,,
62,No Classification,0.303366272,1.527645439,0.538518578,67.5,0.621496528,0.82266545,2.135898612,56620,81.61228895,1.112862304,5.311202258,0.75143273,1.946595311,0.475487206,,,,,5.222769082,0.658010226,2.14059893,0.291265477,3.766540065,0.306054973,,,,,,,,,,,,
63,Sea aerosol (Cl),0.096344669,1.649672651,0.290785083,61.875,0.350242548,0.479700199,1.171711858,55383,65.29259086,1.36581203,20.01729757,1.081829704,2.675461769,0.630977284,,,,,,,12.01464981,0.610008743,,,,,,,,,,,,,,
65,Sea aerosol (Cl),0.188708153,1.19256313,0.510743732,75.9375,0.490174136,0.609094143,1.906211403,57582,65.45255184,1.168062631,22.2053498,0.989250094,,,,,,,,,12.3420991,0.551569788,,,,,,,,,,,,,,
68,Sea aerosol (Cl),0.112269408,1.842048323,0.294647025,98.4375,0.378081803,0.542754058,1.360877271,55284,69.97491717,1.340047456,20.35360932,1.194636337,,,,,,,,,9.671473503,0.60213292,,,,,,,,,,,,,,
73,Sea aerosol (Cl),0.041404321,2.304880413,0.15962325,122.34375,0.229603176,0.367912502,0.819345555,60931,63.60359788,1.438310184,17.07367599,1.061097626,4.854044318,0.693387073,,,,,,,14.46867287,0.694998307,,,,,,,,,,,,,,
75,Sea aerosol (Cl),0.205429129,2.170711722,0.391052448,111.09375,0.511429849,0.848862133,2.038070341,53691,63.90247941,1.320088282,23.08742255,1.102658734,,,,,,,,,13.010104,0.628391327,,,,,,,,,,,,,,
76,Sea aerosol (Cl),0.075642509,1.640428856,0.262550002,59.0625,0.31034019,0.430694599,1.109027954,55107,70.1443553,1.321171597,18.81983429,1.151660737,,,,,,,,,11.03579998,0.61510005,,,,,,,,,,,,,,
77,Sea aerosol (Cl),0.072457561,1.571325788,0.253959035,98.4375,0.303736452,0.399052381,0.995528706,54124,68.72089505,1.369270403,18.75270754,1.035680808,,,,,2.976786532,0.95146792,,,9.549601376,0.541025121,,,,,,,,,,,,,,
81,Oxygen only,0.279479164,1.171269488,0.592571083,26.71875,0.596526549,0.694060429,1.924571093,53047,99.99999404,0.001305508,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Oxygen only,0.038219373,2.307145799,0.163173093,102.65625,0.220595596,0.376464117,0.8285254,60115,100,0.000460203,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Oxygen only,0.042996794,1.681595804,0.196405682,109.6875,0.233976963,0.330274971,0.775021342,56657,100,0.00061907,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Sea aerosol (Cl),0.182338258,2.084672907,0.449949812,68.90625,0.481830137,0.937998183,2.567733497,54538,74.21021461,1.229792554,18.35359931,1.054137293,2.666586824,0.662837178,,,,,,,4.769606516,0.410697469,,,,,,,,,,,,,,
98,Sea aerosol (Cl),0.068476376,1.444441284,0.253959035,112.5,0.295274161,0.366828915,0.951204493,62811,69.07864213,1.363321487,20.2176258,1.191401109,,,,,,,,,10.70372909,0.630821148,,,,,,,,,,,,,,
100,Sea aerosol (Cl),0.043793031,1.305032174,0.225741365,73.125,0.236133478,0.294599744,0.759350366,52622,71.59441113,1.474110316,19.34151649,1.320844796,,,,,,,,,9.064061195,0.66257827,,,,,,,,,,,,,,
101,Sea aerosol (Cl),0.193485575,1.407379249,0.44831261,99.84375,0.49634009,0.630945864,1.679212907,55620,66.84222221,1.293481514,20.71387917,1.094807498,,,,,,,,,12.44389787,0.618238794,,,,,,,,,,,,,,
109,Sea aerosol (Cl),0.036626899,1.628429508,0.193728332,80.15625,0.215950958,0.315472932,0.781512473,53837,75.71530342,1.352516934,16.64727926,1.244030427,,,,,,,,,7.637422532,0.594866928,,,,,,,,,,,,,,
116,Sea aerosol (Cl),0.11943554,2.018370422,0.310394377,81.5625,0.389961604,0.626490829,1.603546742,53203,68.01151633,1.392939501,16.67533517,1.075383462,3.263201937,0.684619136,,,,,,,12.04994321,0.641674921,,,,,,,,,,,,,,
117,Sea aerosol (Cl),0.058125296,1.476617424,0.239434875,61.875,0.272043058,0.353553708,0.910682696,58608,61.25025153,1.175295003,21.94857448,0.892319065,2.221993543,0.475406926,,,,,,,14.57917541,0.551251322,,,,,,,,,,,,,,
118,Sea aerosol (Cl),0.04936669,1.698488341,0.205496419,75.9375,0.250710235,0.349033273,0.850687507,62085,71.71776891,1.37677351,18.19594502,1.222284604,,,,,,,,,10.0862883,0.637801969,,,,,,,,,,,,,,
119,Sea aerosol (Cl),0.104307038,1.553386818,0.310394377,111.09375,0.364428108,0.482162533,1.216036071,54043,65.51166177,1.514936518,16.63399786,1.121477503,3.209749982,0.656620087,,,,,,,11.64554507,0.621301774,0.932488684,0.288187456,2.066553384,0.608368078,,,,,,,,,,
123,Sea aerosol (Cl),0.074050035,2.157825698,0.225741365,99.84375,0.307056074,0.487110518,1.140369906,60854,78.76435518,1.4600778,13.12898993,1.359185297,,,,,,,,,8.106652647,0.648884801,,,,,,,,,,,,,,
126,Oxygen only,0.035034425,1.900279166,0.169306024,105.46875,0.211204203,0.321728709,0.737188259,52209,100,0.000228126,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Sea aerosol (Cl),0.07803122,1.159059306,0.339090917,68.90625,0.315202212,0.393026483,1.137681192,59408,89.20570612,2.14604456,7.856819034,2.06858404,,,,,,,,,2.937473916,0.780834816,,,,,,,,,,,,,,
135,Sea aerosol (Cl),0.043793031,1.491465341,0.197523694,106.875,0.236133478,0.294599744,0.737188259,52600,70.17906904,1.72448568,18.95002127,1.512425393,,,,,,,,,10.87091565,0.8131437,,,,,,,,,,,,,,
144,Oxygen only,0.143322648,1.274754181,0.399058125,146.25,0.427181534,0.508701013,1.383039377,56244,100,0.000280642,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Sea aerosol (Cl),0.057329059,1.789643505,0.219029495,120.9375,0.270173325,0.391984714,0.919862541,54878,71.87756896,1.365949772,17.43749678,1.203820761,,,,,,,,,10.6849432,0.641422579,,,,,,,,,,,,,,
150,Sea aerosol (Cl),0.172783415,2.493772859,0.332983691,80.15625,0.469035901,0.83038569,1.978075151,55144,66.07293487,1.377869397,20.55199295,1.146539021,,,,,,,,,13.37507516,0.666376762,,,,,,,,,,,,,,
